Substrate,SimulatedFormula,Simulated-m/z
CPD041,C17H25N2O5S1,370.1556955275
CPD041,C16H25N2O4S1,342.1607805275
CPD041,C16H26N2O5S1,359.16352055939996
CPD041,C16H21N2O2S1,306.13965039989995
CPD041,C17H26N2O5S1,371.1635205594
CPD041,C16H19N2O3S1,320.1189153361
CPD041,C16H21N2O5S1,354.1243953999
CPD041,C16H25N2O5S1,358.1556955275
CPD041,C16H22N2O6S1,371.12713543179996
CPD041,C17H18N2O4S1,347.1060053042
CPD041,C16H19N2O5S1,352.10874533609996
CPD041,C17H21N2O3S1,334.1345653999
CPD041,C17H22N2O2S1,319.1474754318
CPD041,C17H18N2O5S1,363.1009203042
CPD041,C17H18N2O3S1,331.11109030419993
CPD041,C17H20N2O3S1,333.126740368
CPD041,C17H23N2O6S1,384.13496046369994
CPD041,C16H23N2O5S1,356.14004546369995
CPD041,C16H26N2O6S1,375.1584355594
CPD041,C16H19N2O2S1,304.1240003361
CPD041,C17H19N2O6S1,380.1036603361
CPD041,C16H22N2O5S1,355.13222043179996
CPD041,C16H18N2O2S1,303.11617530419994
CPD041,C16H20N2O3S1,321.126740368
CPD041,C17H20N2O2S1,317.13182536799997
CPD041,C17H26N2O3S1,339.17369055940003
CPD041,C16H24N2O4S1,341.1529554956
CPD041,C16H19N2O6S1,368.1036603361
CPD041,C17H21N2O5S1,366.1243953999
CPD041,C16H18N2O3S1,319.11109030419993
CPD041,C16H20N2O4S1,337.121655368
CPD041,C17H22N2O5S1,367.13222043179996
CPD041,C17H23N2O2S1,320.1553004637
CPD041,C16H26N2O2S1,311.1787755594
CPD041,C16H19N2O4S1,336.11383033609997
CPD041,C16H25N2O2S1,310.17095052749994
CPD041,C17H20N2O6S1,381.111485368
CPD041,C17H22N2O6S1,383.12713543179996
CPD041,C17H26N2O6S1,387.1584355594
CPD041,C17H24N2O4S1,353.1529554956
CPD041,C17H22N2O3S1,335.1423904318
CPD041,C17H25N2O6S1,386.15061052749996
CPD041,C16H22N2O3S1,323.1423904318
CPD041,C16H23N2O3S1,324.15021546369996
CPD041,C17H20N2O5S1,365.116570368
CPD041,C16H21N2O3S1,322.1345653999
CPD041,C16H25N2O6S1,374.15061052749996
CPD041,C16H23N2O4S1,340.14513046369996
CPD041,C17H23N2O3S1,336.15021546369996
CPD041,C16H18N2O6S1,367.09583530419997
CPD041,C16H24N2O3S1,325.15804049559995
CPD041,C17H26N2O4S1,355.1686055594
CPD041,C16H24N2O2S1,309.16312549559996
CPD041,C17H21N2O2S1,318.13965039989995
CPD041,C16H26N2O3S1,327.1736905594
CPD041,C16H20N2O2S1,305.13182536799997
CPD041,C16H24N2O5S1,357.1478704956
CPD041,C17H26N2O2S1,323.1787755594
CPD041,C16H24N2O6S1,373.1427854956
CPD041,C17H19N2O2S1,316.1240003361
CPD041,C17H23N2O5S1,368.14004546369995
CPD041,C17H24N2O5S1,369.1478704956
CPD041,C17H19N2O4S1,348.11383033609997
CPD041,C16H22N2O2S1,307.1474754318
CPD041,C16H23N2O2S1,308.1553004637
CPD041,C17H18N2O2S1,315.11617530419994
CPD041,C17H24N2O6S1,385.1427854956
CPD041,C17H19N2O3S1,332.1189153361
CPD041,C16H21N2O4S1,338.1294803999
CPD041,C16H18N2O4S1,335.1060053042
CPD041,C16H21N2O6S1,370.1193103999
CPD041,C16H25N2O3S1,326.16586552749993
CPD041,C17H24N2O3S1,337.15804049559995
CPD041,C16H23N2O6S1,372.13496046369994
CPD041,C17H20N2O4S1,349.121655368
CPD041,C17H23N2O4S1,352.14513046369996
CPD041,C17H25N2O4S1,354.1607805275
CPD041,C17H25N2O2S1,322.17095052749994
CPD041,C17H21N2O4S1,350.1294803999
CPD041,C17H22N2O4S1,351.1373054318
CPD041,C17H24N2O2S1,321.16312549559996
CPD041,C17H21N2O6S1,382.1193103999
CPD041,C16H20N2O5S1,353.116570368
CPD041,C16H20N2O6S1,369.111485368
CPD041,C17H25N2O3S1,338.16586552749993
CPD041,C17H19N2O5S1,364.10874533609996
CPD041,C17H18N2O6S1,379.09583530419997
CPD041,C16H18N2O5S1,351.1009203042
CPD041,C16H22N2O4S1,339.1373054318
CPD041,C16H26N2O4S1,343.16860555939996
