Enzyme,Sample
Soraphen_A10,sample
Soraphen_A1,sample
Soraphen_A2,sample
Soraphen_A3,sample
Soraphen_A4,sample
Soraphen_A5,sample
Soraphen_A6,sample
Soraphen_A7,sample
Soraphen_A8,sample
Soraphen_A9,sample
Soraphen_B10,sample
Soraphen_B1,sample
Soraphen_B2,sample
Soraphen_B3,sample
Soraphen_B4,sample
Soraphen_B5,sample
Soraphen_B6,sample
Soraphen_B7,sample
Soraphen_B8,sample
Soraphen_B9,sample
Soraphen_C10,sample
Soraphen_C1,sample
Soraphen_C2,sample
Soraphen_C3,sample
Soraphen_C4,sample
Soraphen_C5,evc
Soraphen_C6,sample
Soraphen_C7,sample
Soraphen_C8,sample
Soraphen_C9,sample
Soraphen_D10,sample
Soraphen_D1,sample
Soraphen_D2,sample
Soraphen_D3,sample
Soraphen_D4,sample
Soraphen_D5,sample
Soraphen_D6,sample
Soraphen_D7,sample
Soraphen_D8,sample
Soraphen_D9,sample
Soraphen_E10,sample
Soraphen_E1,sample
Soraphen_E2,sample
Soraphen_E3,sample
Soraphen_E4,sample
Soraphen_E5,sample
Soraphen_E6,sample
Soraphen_E7,sample
Soraphen_E8,sample
Soraphen_E9,sample
Soraphen_F10,sample
Soraphen_F1,sample
Soraphen_F2,sample
Soraphen_F3,sample
Soraphen_F4,sample
Soraphen_F5,sample
Soraphen_F6,sample
Soraphen_F7,sample
Soraphen_F8,sample
Soraphen_F9,sample
Soraphen_G10,sample
Soraphen_G1,sample
Soraphen_G2,sample
Soraphen_G3,sample
Soraphen_G4,sample
Soraphen_G5,sample
Soraphen_G6,sample
Soraphen_G7,sample
Soraphen_G8,sample
Soraphen_G9,sample
Soraphen_H10,sample
Soraphen_H1,sample
Soraphen_H2,sample
Soraphen_H3,sample
Soraphen_H4,sample
Soraphen_H5,sample
Soraphen_H6,sample
Soraphen_H7,sample
Soraphen_H8,sample
Soraphen_H9,sample
