id_number	mz	rtime	rtime_left_base	rtime_right_base	parent_masstrack_id	peak_area	cSelectivity	goodness_fitting	snr	detection_counts	CPD041_EVC1	CPD041_EVC2	CPD041_EVC3	CPD041_KGD001	CPD041_KGD002	CPD041_KGD003	CPD041_KGD005	CPD041_KGD007	CPD041_KGD008	CPD041_KGD009	CPD041_KGD010	CPD041_KGD011	CPD041_KGD013	CPD041_KGD014	CPD041_KGD015	CPD041_KGD016	CPD041_KGD017	CPD041_KGD018	CPD041_KGD019	CPD041_KGD021	CPD041_KGD022	CPD041_KGD023	CPD041_KGD025	CPD041_KGD026	CPD041_KGD028	CPD041_KGD031	CPD041_KGD032	CPD041_KGD033	CPD041_KGD034	CPD041_KGD035	CPD041_KGD036	CPD041_KGD037	CPD041_KGD038	CPD041_KGD040	CPD041_KGD041	CPD041_KGD042	CPD041_KGD043	CPD041_KGD044	CPD041_KGD045	CPD041_KGD048	CPD041_KGD051	CPD041_KGD052	CPD041_KGD057	CPD041_KGD058	CPD041_KGD064	CPD041_KGD066	CPD041_KGD069	CPD041_KGD070	CPD041_KGD075	CPD041_KGD076	CPD041_KGD077	CPD041_KGD078	CPD041_KGD079	CPD041_KGD080	CPD041_KGD081	CPD041_KGD082	CPD041_KGD083	CPD041_KGD084	CPD041_KGD085	CPD041_KGD086	CPD041_KGD087	CPD041_KGD088	CPD041_KGD089	CPD041_KGD090	CPD041_KGD091	CPD041_KGD092	CPD041_KGD093	CPD041_KGD094	CPD041_KGD095	CPD041_KGD096	CPD041_KGD097	CPD041_KGD098	CPD041_KGD099	CPD041_KGD101	CPD041_KGD102	CPD041_KGD103	CPD041_KGD104	CPD041_KGD105	CPD041_KGD106	CPD041_KGD107	CPD041_KGD108	CPD041_KGD109	CPD041_KGD110	CPD041_KGD111	CPD041_KGD112	CPD041_KGD113	CPD041_KGD114	CPD041_KGD115	CPD041_KGD116	CPD041_KGD117	CPD041_KGD118	CPD041_KGD119	CPD041_KGD120
F1	252.0673	51.54	50.36	52.71	6	479110909	1.0	0.92	63	88	5508055	5450052	5412945	5596075	5271006	5305958	5279988	5129590	5680232	5409178	5300280	5375479	5729157	5551729	5845403	5715737	5389946	5290204	0	5231004	5199056	0	5574059	5295386	5233193	5704765	5501609	5242937	5651204	5546469	5342661	5418241	5462752	5525076	5604313	5028496	5566014	5390791	5413192	5163362	5438773	5269491	5307659	5590519	5444159	5609221	5306044	5688883	5676144	5787720	5443191	5246296	0	5344575	5561764	5338514	5809690	5490932	5455100	5808151	5446448	0	5527135	5145166	6335779	5507600	5388194	5448145	5268722	5470172	5678987	5295565	5307297	5338184	5567691	5401398	5446838	0	5479625	5601941	5470474	5507215	5443013	5858158	5472562	5439912	5488497	5525121	5340249	5717271	5494703	5595837	5462876
F2	298.3449	73.7	72.52	74.88	18	12541785	1.0	0.97	988	92	148606	147113	145131	131495	129275	128274	129123	120244	138821	136074	124395	126546	126880	139838	143937	135306	144555	129768	134792	128660	137935	144098	133467	120800	150247	148666	108277	134964	142498	139761	130225	136968	131214	127292	130721	132611	133870	139628	127697	127416	141223	141712	121733	140384	142448	138768	136736	135000	135667	146078	129241	128882	139104	127536	134729	132819	132948	123485	116147	134392	129103	125834	0	137306	154265	140805	137229	142974	141825	135392	131044	140829	142984	172676	144437	132503	138785	146886	138267	135616	148636	127570	160753	138586	133266	150528	142494	132706	148170	135867	148229	145123	139877
F3	254.066	51.34	50.76	52.52	12	19251508	1.0	0.72	163	93	211020	197618	213982	218009	199609	206775	213960	180572	223525	207540	194773	201091	232501	204499	227822	227275	201509	195928	178187	202982	199353	219793	198894	213509	200701	204134	220327	202782	219917	216100	204590	205829	208871	206034	191936	199459	205162	195120	211979	199963	183639	203278	190208	200262	215128	221169	202544	211347	225081	226325	195883	175319	216715	203314	216916	211890	220880	208347	204743	232907	202591	213980	197596	202543	229378	207864	211358	216429	190651	200145	216415	203035	210654	201592	207389	199600	195907	208887	196095	220651	195868	203212	177728	216249	187644	212827	217400	219935	203906	223402	212176	221459	216417
F4	252.0865	60.17	59.58	60.95	8	25082939	1.0	0.97	3420	77	389051	360106	338840	451759	456369	392019	486282	162879	366756	369850	342055	267223	368437	0	0	344925	294403	405375	317775	277236	233940	258634	355006	277932	312595	236929	254329	359925	355999	244065	324391	336331	328801	0	0	327132	308753	266588	342085	347621	270634	450333	306149	294520	0	301677	231881	406212	272390	289249	374700	367444	379161	294237	333960	319803	288795	261498	357183	0	274974	0	0	390566	0	383235	313032	352901	416073	242300	414391	312381	231270	0	319616	376459	389401	0	0	233499	419537	266036	331382	268808	224023	0	276751	323075	0	0	0	317353	358654
F5	307.1097	67.23	66.35	68.41	20	36791053	1.0	0.95	3215	91	499977	473248	393497	468626	508532	375020	531629	368855	606545	392015	285334	423926	408505	442225	409571	406498	425808	458778	116604	197247	348639	316657	469711	581124	484261	454916	441960	444890	476130	335738	338401	453021	510643	396871	350336	427305	416136	460264	469135	222289	374520	439172	427615	344694	376814	381248	391196	498421	425003	415534	360729	466370	460261	299375	442356	388085	422046	351977	279333	391275	339147	341236	531895	500985	0	424939	261350	405250	378212	317852	450271	350387	418390	0	462576	427740	473268	329770	392121	423532	422393	410004	399432	363025	407849	213529	489267	493841	382999	103117	357379	455167	559239
F6	270.0333	59.97	58.99	61.15	13	11246732	1.0	0.96	977	92	103545	122080	125779	129105	108985	125934	120206	132022	122651	111753	114202	128652	124681	136286	140831	111036	101454	127316	112747	114927	125370	133408	113860	111262	129387	131661	135739	113634	129031	118550	131947	128339	113603	131903	119013	121883	121850	131127	122291	89520	122006	129168	126874	130525	121711	133617	125101	119982	124476	122858	103794	117164	123880	124869	124753	106906	125187	129298	122035	133441	113443	129303	124889	115010	0	92651	102673	101338	113436	117521	116443	105194	126233	179452	129170	125361	112804	121104	113645	119734	124358	125940	104542	127024	126624	150043	133294	113656	122351	178985	138698	124443	105155
F7	270.0333	73.31	73.01	73.9	13	74416	0.84	0.82	10	22	0	0	0	0	0	0	0	7698	0	1091	0	3916	3361	2147	2306	0	0	0	0	0	0	0	0	1040	1080	2772	2315	0	0	0	0	0	0	0	5376	3482	2405	11605	7358	0	0	0	0	0	0	0	16040	1041	4846	0	0	0	0	0	0	0	0	0	0	0	0	1035	1102	0	0	0	0	0	0	0	0	1160	0	0	1240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F8	307.6111	67.33	66.45	68.5	21	12417616	1.0	0.94	1110	85	163841	174562	115073	163761	158719	144380	184243	124007	203115	132662	0	153622	173320	174328	135303	156199	139907	162646	0	0	112299	124980	176728	191916	166341	131514	150482	157420	151588	120616	149540	137604	191258	143097	116391	149275	149788	160627	169437	0	125381	153843	139217	99885	128558	143782	116202	146046	138930	102959	125817	173571	160424	100000	137550	137198	140987	140580	110107	120367	130579	126782	195563	163690	0	143124	122478	148205	124484	114886	194838	121440	107893	0	163023	151542	167516	108914	134694	153173	153295	145566	135454	138009	142241	0	176251	181168	156138	0	123750	165638	197289
F9	253.0708	51.34	50.76	52.52	9	60883773	1.0	0.73	81	93	673545	657458	646418	674235	644023	629196	639222	595642	681147	653525	628060	631843	674082	665165	701157	688578	654552	631776	631058	624693	630135	680585	654811	611843	631481	680786	656804	615740	684993	666448	646106	649962	646114	684010	664395	590631	666282	640613	646313	628596	662212	640788	642803	666763	647171	676817	635500	683397	687893	702347	651095	633162	679954	653574	676430	625571	702834	656414	672410	705536	654458	661854	664713	619921	729044	658364	635424	657548	625623	653920	678245	626000	615485	644351	667669	639638	650353	626392	656734	672664	653093	665879	648548	692498	645387	650198	666931	663934	623429	668918	654867	667585	658412
F10	309.0885	60.07	59.19	61.25	22	731778	1.0	0.99	66	3	0	0	0	0	0	0	0	362413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	259973	0	0	0	0	0	0	0	0	0	0	133767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F11	274.0489	51.15	50.76	52.23	14	3862233	1.0	0.53	491	59	0	65979	69135	63563	62992	63570	0	56020	0	63538	62320	0	71072	0	66833	66992	63014	60587	60024	57484	58999	0	0	58526	51023	0	61956	0	63090	0	0	0	0	0	0	0	63525	0	59817	0	0	59220	0	0	0	63578	65947	71672	66333	65658	69156	66669	69393	64481	0	62315	74004	63827	66304	75570	67205	66937	67425	67637	70601	0	0	71306	63204	0	56047	61100	63966	85544	0	65335	0	64470	68108	72342	68564	0	0	0	0	69448	67941	69177	0	79462	0	68936	69292
F12	274.0489	53.7	52.52	54.87	14	5158907	0.87	0.96	251	59	0	90592	79242	93533	70323	79456	0	85912	0	80383	83059	0	89182	0	97342	81962	81817	93292	79339	79174	87017	0	0	73612	82291	0	84519	0	82161	0	0	0	0	0	0	0	84785	0	79774	0	0	76317	0	0	0	71296	94570	87375	87296	88933	86339	87480	90806	89839	0	96416	90427	85139	80321	97182	92326	99861	87413	86319	139930	0	0	84831	86614	0	83009	92554	86706	84066	0	90229	0	98406	94530	88933	87894	0	0	0	0	90365	88308	85622	0	103771	0	94239	89478
F13	253.0813	60.07	59.29	61.25	11	9039873	1.0	0.98	948	77	90811	157033	0	119141	135867	105576	154883	0	145565	139332	0	90005	93166	139149	82894	142137	134628	145046	110778	0	120313	132986	148206	121507	102227	0	139531	139980	86288	104894	130973	106952	79999	90380	99895	116068	101200	151707	110883	118507	112216	158790	92045	0	0	100176	82293	131777	80765	0	142078	145299	160882	131578	120975	130671	119257	69720	101302	132880	90338	117548	142694	164714	0	130021	91767	109171	95811	125204	156102	127674	0	0	0	88759	130063	0	104424	90224	119363	0	109718	112029	114543	0	118672	151079	91786	0	83260	88844	105854
F14	315.1067	65.27	64.58	66.45	23	178501	1.0	0.97	21	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
