Sample,M/Z,Retention Time (sec),Value
CPD041_KGD008,252.0673,51.54,79406.5155172972
CPD041_KGD013,252.0673,51.54,128331.5155172972
CPD041_KGD015,252.0673,51.54,244577.5155172972
CPD041_KGD016,252.0673,51.54,114911.5155172972
CPD041_KGD031,252.0673,51.54,103939.5155172972
CPD041_KGD070,252.0673,51.54,88057.5155172972
CPD041_KGD076,252.0673,51.54,186894.5155172972
CPD041_KGD083,252.0673,51.54,208864.5155172972
CPD041_KGD086,252.0673,51.54,207325.5155172972
CPD041_KGD091,252.0673,51.54,734953.5155172972
CPD041_KGD097,252.0673,51.54,78161.5155172972
CPD041_KGD111,252.0673,51.54,257332.5155172972
CPD041_KGD117,252.0673,51.54,116445.5155172972
CPD041_KGD007,309.0885,60.07,362413.0
CPD041_KGD026,309.0885,60.07,259973.0
CPD041_KGD041,309.0885,60.07,133767.0
CPD041_KGD019,315.1067,65.27,200249.0
CPD041_KGD007,279.1144,67.92,343734.15074073593
CPD041_KGD015,279.1144,67.92,129289.15074073592
CPD041_KGD031,279.1144,67.92,112770.15074073592
CPD041_KGD041,279.1144,67.92,698205.1507407359
CPD041_KGD043,279.1144,67.92,230217.15074073596
CPD041_KGD045,279.1144,67.92,88604.15074073593
CPD041_KGD069,279.1144,67.92,287768.15074073593
CPD041_KGD091,279.1144,67.92,4481265.150740736
CPD041_KGD105,279.1144,67.92,507243.15074073593
CPD041_KGD041,280.1175,67.92,134552.77196517194
CPD041_KGD091,280.1175,67.92,704576.7719651719
CPD041_KGD105,280.1175,67.92,106211.77196517194
CPD041_KGD007,323.1039,61.35,1129626.0
CPD041_KGD026,323.1039,61.35,404317.0
CPD041_KGD091,281.1136,67.82,246142.0
CPD041_KGD007,324.107,61.25,170178.0
CPD041_KGD010,336.1437,67.62,81422.89929615054
CPD041_KGD079,336.1437,67.62,77268.89929615054
CPD041_KGD010,365.1144,58.6,550555.0
CPD041_KGD026,365.1144,58.6,514086.0
CPD041_KGD005,365.1144,59.68,278099.0
CPD041_KGD007,365.1144,59.68,88637.0
CPD041_KGD008,365.1144,59.68,534191.0
CPD041_KGD009,365.1144,59.68,560098.0
CPD041_KGD010,365.1144,59.68,192157.0
CPD041_KGD026,365.1144,59.68,206166.0
CPD041_KGD043,365.1144,59.68,128224.0
CPD041_KGD007,351.1345,63.9,1213828.0
CPD041_KGD014,351.1345,63.9,220413.0
CPD041_KGD026,351.1345,63.9,839663.0
CPD041_KGD041,351.1345,63.9,257652.0
CPD041_KGD045,351.1345,63.9,166783.0
CPD041_KGD069,351.1345,63.9,103115.0
CPD041_KGD007,365.1506,65.37,403219.0
CPD041_KGD011,365.1506,65.37,126528.0
CPD041_KGD014,365.1506,65.37,466018.0
CPD041_KGD026,365.1506,65.37,692893.0
CPD041_KGD031,365.1506,65.37,188762.0
CPD041_KGD041,365.1506,65.37,462504.0
CPD041_KGD064,365.1506,65.37,128972.0
CPD041_KGD069,365.1506,65.37,678572.0
CPD041_KGD088,365.1506,65.37,121908.0
CPD041_KGD102,365.1506,65.37,96481.0
CPD041_KGD112,365.1506,65.37,109373.0
CPD041_KGD113,365.1506,65.37,207683.0
CPD041_KGD007,352.1381,63.99,206813.0
CPD041_KGD026,352.1381,63.99,136883.0
CPD041_KGD002,251.0833,60.17,453909.2637623167
CPD041_KGD005,251.0833,60.17,268767.26376231667
CPD041_KGD021,349.1194,63.5,127792.3670694488
CPD041_KGD077,349.1194,63.5,110190.3670694488
CPD041_KGD085,349.1194,63.5,150157.3670694488
CPD041_KGD010,366.1172,58.5,134777.0
CPD041_KGD026,366.1172,58.5,110179.0
CPD041_KGD045,364.1665,61.05,79795.91788846589
CPD041_KGD026,366.1537,65.27,139783.0
CPD041_KGD041,366.1537,65.27,92963.0
CPD041_KGD069,366.1537,65.27,126965.0
CPD041_KGD003,381.1447,60.27,126692.0
CPD041_KGD005,387.0957,59.88,94105.0
CPD041_KGD008,387.0957,59.88,201680.0
CPD041_KGD009,387.0957,59.88,140253.0
CPD041_KGD005,382.0781,56.64,96434.0
CPD041_KGD023,382.0781,56.64,81966.0
CPD041_KGD034,382.0781,56.64,92101.0
CPD041_KGD070,382.0781,56.64,89754.0
CPD041_KGD097,382.0781,56.64,96777.0
CPD041_KGD099,382.0781,56.64,77676.0
CPD041_KGD092,402.059,56.74,90095.0
CPD041_KGD101,402.059,56.74,125797.0
CPD041_KGD113,402.059,56.74,117131.0
CPD041_KGD117,402.059,56.74,125450.0
CPD041_KGD019,386.1027,67.42,107752.0
CPD041_KGD007,408.1674,55.56,100859.0
CPD041_KGD013,409.151,56.54,148264.0
CPD041_KGD022,409.151,56.54,174744.0
CPD041_KGD031,409.151,56.54,172249.0
CPD041_KGD032,409.151,56.54,83915.0
CPD041_KGD038,409.151,56.54,143615.0
CPD041_KGD088,409.151,56.54,138085.0
CPD041_KGD106,409.151,56.54,123777.0
CPD041_KGD112,409.151,56.54,132363.0
CPD041_KGD114,409.151,56.54,104825.0
