id_number,mz,rtime,rtime_left_base,rtime_right_base,parent_masstrack_id,peak_area,cSelectivity,goodness_fitting,snr,detection_counts,CPD041_EVC1,CPD041_EVC2,CPD041_EVC3,CPD041_KGD001,CPD041_KGD002,CPD041_KGD003,CPD041_KGD005,CPD041_KGD007,CPD041_KGD008,CPD041_KGD009,CPD041_KGD010,CPD041_KGD011,CPD041_KGD013,CPD041_KGD014,CPD041_KGD015,CPD041_KGD016,CPD041_KGD017,CPD041_KGD018,CPD041_KGD019,CPD041_KGD021,CPD041_KGD022,CPD041_KGD023,CPD041_KGD025,CPD041_KGD026,CPD041_KGD028,CPD041_KGD031,CPD041_KGD032,CPD041_KGD033,CPD041_KGD034,CPD041_KGD035,CPD041_KGD036,CPD041_KGD037,CPD041_KGD038,CPD041_KGD040,CPD041_KGD041,CPD041_KGD042,CPD041_KGD043,CPD041_KGD044,CPD041_KGD045,CPD041_KGD048,CPD041_KGD051,CPD041_KGD052,CPD041_KGD057,CPD041_KGD058,CPD041_KGD064,CPD041_KGD066,CPD041_KGD069,CPD041_KGD070,CPD041_KGD075,CPD041_KGD076,CPD041_KGD077,CPD041_KGD078,CPD041_KGD079,CPD041_KGD080,CPD041_KGD081,CPD041_KGD082,CPD041_KGD083,CPD041_KGD084,CPD041_KGD085,CPD041_KGD086,CPD041_KGD087,CPD041_KGD088,CPD041_KGD089,CPD041_KGD090,CPD041_KGD091,CPD041_KGD092,CPD041_KGD093,CPD041_KGD094,CPD041_KGD095,CPD041_KGD096,CPD041_KGD097,CPD041_KGD098,CPD041_KGD099,CPD041_KGD101,CPD041_KGD102,CPD041_KGD103,CPD041_KGD104,CPD041_KGD105,CPD041_KGD106,CPD041_KGD107,CPD041_KGD108,CPD041_KGD109,CPD041_KGD110,CPD041_KGD111,CPD041_KGD112,CPD041_KGD113,CPD041_KGD114,CPD041_KGD115,CPD041_KGD116,CPD041_KGD117,CPD041_KGD118,CPD041_KGD119,CPD041_KGD120
F1,252.0673,51.54,50.36,52.71,6,479110909,1.0,0.92,63,88,5508055,5450052,5412945,0.0,0.0,0.0,0.0,0.0,79406.5155172972,0.0,0.0,0.0,128331.5155172972,0.0,244577.5155172972,114911.5155172972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103939.5155172972,0.0,0.0,50378.5155172972,0.0,0.0,0.0,0.0,0.0,3487.515517297201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8395.5155172972,0.0,88057.5155172972,75318.5155172972,186894.5155172972,0.0,0.0,0.0,0.0,0.0,0.0,208864.5155172972,0.0,0.0,207325.5155172972,0.0,0.0,0.0,0.0,734953.5155172972,0.0,0.0,0.0,0.0,0.0,78161.5155172972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1115.5155172972009,0.0,0.0,0.0,257332.5155172972,0.0,0.0,0.0,0.0,0.0,116445.5155172972,0.0,0.0,0.0
F2,298.3449,73.7,72.52,74.88,18,12541785,1.0,0.97,988,92,148606,147113,145131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2085.325344727462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20496.325344727462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8573.325344727462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,254.066,51.34,50.76,52.52,12,19251508,1.0,0.72,163,93,211020,197618,213982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4,252.0865,60.17,59.58,60.95,8,25082939,1.0,0.97,3420,77,389051,360106,338840,13483.807127966837,18093.807127966837,0.0,48006.80712796684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12057.807127966837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F5,307.1097,67.23,66.35,68.41,20,36791053,1.0,0.95,3215,91,499977,473248,393497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F6,270.0333,59.97,58.99,61.15,13,11246732,1.0,0.96,977,92,103545,122080,125779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26577.028731945262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26110.028731945262,0.0,0.0,0.0
F7,270.0333,73.31,73.01,73.9,13,74416,0.84,0.82,10,22,0,0,0,0.0,0.0,0.0,0.0,7698.0,0.0,1091.0,0.0,3916.0,3361.0,2147.0,2306.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1040.0,1080.0,2772.0,2315.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5376.0,3482.0,2405.0,11605.0,7358.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16040.0,1041.0,4846.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1035.0,1102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1160.0,0.0,0.0,1240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F8,307.6111,67.33,66.45,68.5,21,12417616,1.0,0.94,1110,85,163841,174562,115073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F9,253.0708,51.34,50.76,52.52,9,60883773,1.0,0.73,81,93,673545,657458,646418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1092.0903463184368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2282.090346318437,0.0,0.0,0.0,0.0,0.0,0.0,2769.090346318437,0.0,0.0,5471.090346318437,0.0,0.0,0.0,0.0,28979.090346318437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F10,309.0885,60.07,59.19,61.25,22,731778,1.0,0.99,66,3,0,0,0,0.0,0.0,0.0,0.0,362413.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259973.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133767.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
